title,link,summary
İmamoğlu'nu görünce televizyona saldıran kişileri gösteren video gerçek mi?,https://teyit.org/analiz/ekrem-imamoglunu-gorunce-televizyona-saldiran-kisileri-gosteren-video-gercek-mi,Bir videonun televizyonda Ekrem İmamoğlu’nu görünce sinirlenen insanları gösterdiği iddia edildi.
Video Kıbrıs-İstanbul uçağında birinin hayatını kaybettiğini mi gösteriyor?,https://teyit.org/analiz/video-kibris-istanbul-ucaginda-birinin-hayatini-kaybettigini-mi-gosteriyor,Kıbrıs-İstanbul uçağında birinin hayatını kaybettiğini öne süren bir video gerçek sanıldı.
Videonun İngiltere Harp Okulu öğrencilerinin geçit törenini gösterdiği iddiası,https://teyit.org/analiz/videonun-ingiltere-harp-okulu-ogrencilerinin-gecit-torenini-gosterdigi-iddiasi,Videonun İngiltere Harp Okulu öğrencilerinin geçit törenini gösterdiği iddia edildi.
Öğrencilerine şiddet uygulayan öğretmen videosu gerçek mi?,https://teyit.org/analiz/ogrencilerine-siddet-uygulayan-ogretmen-videosu-gercek-mi,Bir öğretmenin öğrencilerine şiddet uyguladığı video gerçek olduğu öne sürülerek paylaşıldı.
Video dans eden Nepal milletvekillerini mi gösteriyor?,https://teyit.org/analiz/video-dans-eden-nepal-milletvekillerini-mi-gosteriyor,Parlamentoda dans eden milletvekilleri videosunun Nepal’de çekildiği iddia edildi.
Video ABD'de Ukraynalı bir kadını öldüren kişiye idam cezası verildiğini mi gösteriyor?,https://teyit.org/analiz/video-abdde-ukraynali-bir-kadini-olduren-kisiye-idam-cezasi-verildigini-mi-gosteriyor,Bir videonun ABD’de metroda Ukraynalı bir kadını öldüren kişiye idam cezası verildiğini gösterdiği iddia edildi.
Görüntüler yeni tanıtılan iPhone 17 Pro Max'e mi ait?,https://teyit.org/analiz/goruntuler-yeni-tanitilan-iphone-17-pro-maxe-mi-ait,Bir videonun yeni tanıtılan iPhone 17 Pro Max modelini gösterdiği iddia edildi.
Atatürk'ün boyunu gösteren fotoğraf gerçek mi?,https://teyit.org/analiz/ataturkun-boyu-hakkinda-fikir-veren-fotograf-gercek-mi,Gerçek olduğu öne sürülen bir fotoğraf Atatürk’ün boyuna atıf yapılarak dolaşıma girdi.
Türkiye Kadın Milli Takımı’na ödül olarak Labubu verildiği iddiası,https://teyit.org/analiz/dunya-voleybol-sampiyonasinda-turkiye-kadin-milli-takimina-odul-olarak-labubu-verildigi-iddiasi,Dünya Voleybol Şampiyonası'nda Türkiye Kadın Milli Takımı’na ikincilik ödülü olarak Labubu verildiği iddia edildi.
Videonun Manisa'da yaşanan biz taciz vakasını gösterdiği iddiası,https://teyit.org/analiz/videonun-manisada-yasanan-biz-taciz-vakasini-gosterdigi-iddiasi,Videonun Manisa'da yaşanan biz taciz vakasını gösterdiği iddia edildi.
