title,link,summary,text,clean_text,prediction
İmamoğlu'nu görünce televizyona saldıran kişileri gösteren video gerçek mi?,https://teyit.org/analiz/ekrem-imamoglunu-gorunce-televizyona-saldiran-kisileri-gosteren-video-gercek-mi,Bir videonun televizyonda Ekrem İmamoğlu’nu görünce sinirlenen insanları gösterdiği iddia edildi.,İmamoğlu'nu görünce televizyona saldıran kişileri gösteren video gerçek mi? Bir videonun televizyonda Ekrem İmamoğlu’nu görünce sinirlenen insanları gösterdiği iddia edildi.,imamoğlunu görünce televizyona saldıran kişileri gösteren video gerçek videonun televizyonda ekrem imamoğlunu görünce sinirlenen insanları gösterdiği iddia edildi,Gerçek
Video Kıbrıs-İstanbul uçağında birinin hayatını kaybettiğini mi gösteriyor?,https://teyit.org/analiz/video-kibris-istanbul-ucaginda-birinin-hayatini-kaybettigini-mi-gosteriyor,Kıbrıs-İstanbul uçağında birinin hayatını kaybettiğini öne süren bir video gerçek sanıldı.,Video Kıbrıs-İstanbul uçağında birinin hayatını kaybettiğini mi gösteriyor? Kıbrıs-İstanbul uçağında birinin hayatını kaybettiğini öne süren bir video gerçek sanıldı.,video kıbrısistanbul uçağında birinin hayatını kaybettiğini gösteriyor kıbrısistanbul uçağında birinin hayatını kaybettiğini öne süren video gerçek sanıldı,Sahte
Videonun İngiltere Harp Okulu öğrencilerinin geçit törenini gösterdiği iddiası,https://teyit.org/analiz/videonun-ingiltere-harp-okulu-ogrencilerinin-gecit-torenini-gosterdigi-iddiasi,Videonun İngiltere Harp Okulu öğrencilerinin geçit törenini gösterdiği iddia edildi.,Videonun İngiltere Harp Okulu öğrencilerinin geçit törenini gösterdiği iddiası Videonun İngiltere Harp Okulu öğrencilerinin geçit törenini gösterdiği iddia edildi.,videonun ingiltere harp okulu öğrencilerinin geçit törenini gösterdiği iddiası videonun ingiltere harp okulu öğrencilerinin geçit törenini gösterdiği iddia edildi,Gerçek
Öğrencilerine şiddet uygulayan öğretmen videosu gerçek mi?,https://teyit.org/analiz/ogrencilerine-siddet-uygulayan-ogretmen-videosu-gercek-mi,Bir öğretmenin öğrencilerine şiddet uyguladığı video gerçek olduğu öne sürülerek paylaşıldı.,Öğrencilerine şiddet uygulayan öğretmen videosu gerçek mi? Bir öğretmenin öğrencilerine şiddet uyguladığı video gerçek olduğu öne sürülerek paylaşıldı.,öğrencilerine şiddet uygulayan öğretmen videosu gerçek öğretmenin öğrencilerine şiddet uyguladığı video gerçek olduğu öne sürülerek paylaşıldı,Gerçek
Video dans eden Nepal milletvekillerini mi gösteriyor?,https://teyit.org/analiz/video-dans-eden-nepal-milletvekillerini-mi-gosteriyor,Parlamentoda dans eden milletvekilleri videosunun Nepal’de çekildiği iddia edildi.,Video dans eden Nepal milletvekillerini mi gösteriyor? Parlamentoda dans eden milletvekilleri videosunun Nepal’de çekildiği iddia edildi.,video dans eden nepal milletvekillerini gösteriyor parlamentoda dans eden milletvekilleri videosunun nepalde çekildiği iddia edildi,Sahte
Video ABD'de Ukraynalı bir kadını öldüren kişiye idam cezası verildiğini mi gösteriyor?,https://teyit.org/analiz/video-abdde-ukraynali-bir-kadini-olduren-kisiye-idam-cezasi-verildigini-mi-gosteriyor,Bir videonun ABD’de metroda Ukraynalı bir kadını öldüren kişiye idam cezası verildiğini gösterdiği iddia edildi.,Video ABD'de Ukraynalı bir kadını öldüren kişiye idam cezası verildiğini mi gösteriyor? Bir videonun ABD’de metroda Ukraynalı bir kadını öldüren kişiye idam cezası verildiğini gösterdiği iddia edildi.,video abdde ukraynalı kadını öldüren kişiye idam cezası verildiğini gösteriyor videonun abdde metroda ukraynalı kadını öldüren kişiye idam cezası verildiğini gösterdiği iddia edildi,Gerçek
Görüntüler yeni tanıtılan iPhone 17 Pro Max'e mi ait?,https://teyit.org/analiz/goruntuler-yeni-tanitilan-iphone-17-pro-maxe-mi-ait,Bir videonun yeni tanıtılan iPhone 17 Pro Max modelini gösterdiği iddia edildi.,Görüntüler yeni tanıtılan iPhone 17 Pro Max'e mi ait? Bir videonun yeni tanıtılan iPhone 17 Pro Max modelini gösterdiği iddia edildi.,görüntüler yeni tanıtılan iphone 17 pro maxe ait videonun yeni tanıtılan iphone 17 pro max modelini gösterdiği iddia edildi,Gerçek
Atatürk'ün boyunu gösteren fotoğraf gerçek mi?,https://teyit.org/analiz/ataturkun-boyu-hakkinda-fikir-veren-fotograf-gercek-mi,Gerçek olduğu öne sürülen bir fotoğraf Atatürk’ün boyuna atıf yapılarak dolaşıma girdi.,Atatürk'ün boyunu gösteren fotoğraf gerçek mi? Gerçek olduğu öne sürülen bir fotoğraf Atatürk’ün boyuna atıf yapılarak dolaşıma girdi.,atatürkün boyunu gösteren fotoğraf gerçek gerçek olduğu öne sürülen fotoğraf atatürkün boyuna atıf yapılarak dolaşıma girdi,Gerçek
Türkiye Kadın Milli Takımı’na ödül olarak Labubu verildiği iddiası,https://teyit.org/analiz/dunya-voleybol-sampiyonasinda-turkiye-kadin-milli-takimina-odul-olarak-labubu-verildigi-iddiasi,Dünya Voleybol Şampiyonası'nda Türkiye Kadın Milli Takımı’na ikincilik ödülü olarak Labubu verildiği iddia edildi.,Türkiye Kadın Milli Takımı’na ödül olarak Labubu verildiği iddiası Dünya Voleybol Şampiyonası'nda Türkiye Kadın Milli Takımı’na ikincilik ödülü olarak Labubu verildiği iddia edildi.,türkiye kadın milli takımına ödül olarak labubu verildiği iddiası dünya voleybol şampiyonasında türkiye kadın milli takımına ikincilik ödülü olarak labubu verildiği iddia edildi,Gerçek
Videonun Manisa'da yaşanan biz taciz vakasını gösterdiği iddiası,https://teyit.org/analiz/videonun-manisada-yasanan-biz-taciz-vakasini-gosterdigi-iddiasi,Videonun Manisa'da yaşanan biz taciz vakasını gösterdiği iddia edildi.,Videonun Manisa'da yaşanan biz taciz vakasını gösterdiği iddiası Videonun Manisa'da yaşanan biz taciz vakasını gösterdiği iddia edildi.,videonun manisada yaşanan biz taciz vakasını gösterdiği iddiası videonun manisada yaşanan biz taciz vakasını gösterdiği iddia edildi,Gerçek
